     model0  LH0             model1  LH1             model2  LH2             model3  LH3             model4  LH4             model5  LH5             model6  LH6             model7  LH7             model8  LH8             model9  LH9            model10  LH10           model11  LH11           model12  LH12           model13  LH13           model14  LH14           model15  LH15           model16  LH16           model17  LH17           model18  LH18           model19  LH19           overallLH
       PMBF  -846.343024        VTF -1028.470207   DAYHOFFF -3149.044649   DAYHOFFF  -620.091116  BLOSUM62F -1274.526947     CPREVF -2670.270474  JTTDCMUTF -3552.873549  JTTDCMUTF -1862.391404     RTREVF -1187.503993       WAGF -3490.903773   DAYHOFFF -2174.965292     RTREVF  -774.875616       JTTF -6058.427916        LGF -1536.397789      HIVBF -1762.573002      HIVWF -4040.830521       FLUF -2604.136667     MTARTF -1502.377125     CPREVF -1197.545769     CPREVF  -830.328468   -42164.877300
       PMBF  -848.559610       FLUF -1043.227407     MTREVF -3205.435806       PMBF  -628.484571       PMBF -1275.296149  JTTDCMUTF -2641.430600     DCMUTF -3592.607905      HIVWF -1979.876787        LGF -1190.849761     DCMUTF -3478.374395     DCMUTF -2175.923015       FLUF  -786.900948     CPREVF -6049.084269       JTTF -1554.924749      HIVWF -1805.136554  BLOSUM62F -3958.554318     MTREVF -2546.852663     MTMAMF -1534.140936  JTTDCMUTF -1184.683002     MTREVF  -832.954877   -42313.298324
     MTMAMF  -850.257979     DCMUTF -1047.164571     MTMAMF -3345.072472   DAYHOFFF  -626.530189       PMBF -1285.472242     CPREVF -2686.903432     MTZOAF -3659.361109       JTTF -1848.405586        LGF -1195.726372       WAGF -3505.959861     RTREVF -2194.143936     RTREVF  -781.282686      HIVWF -6426.179598     MTMAMF -1611.885478       FLUF -1764.316276     MTARTF -3895.550288  JTTDCMUTF -2535.940600     RTREVF -1484.633584     MTREVF -1183.654932       WAGF  -835.072169   -42763.513360
     MTARTF  -839.727764       PMBF -1031.096668  BLOSUM62F -3157.471703       FLUF  -616.866733   DAYHOFFF -1250.473570        LGF -2638.959260     RTREVF -3566.203640     RTREVF -1874.133823     MTARTF -1198.216464     MTMAMF -3827.543485     RTREVF -2189.187619     MTARTF  -783.144314  BLOSUM62F -6049.862660       JTTF -1554.960817      HIVBF -1763.174743       WAGF -3925.504834        VTF -2552.899776       PMBF -1495.500179     MTMAMF -1220.510346     DCMUTF  -829.309900   -42364.748298
     MTREVF  -840.059960     RTREVF -1025.027646   DAYHOFFF -3150.653534     DCMUTF  -622.386476      HIVBF -1267.221856      HIVWF -2775.034270     MTREVF -3687.178360     RTREVF -1872.806586     MTMAMF -1236.208873     MTREVF -3583.776028      HIVBF -2246.528181       PMBF  -788.458936       JTTF -6041.090304        LGF -1539.305554     CPREVF -1759.653647  BLOSUM62F -3963.138347      HIVBF -2585.276623       WAGF -1492.114366      HIVWF -1238.176307  BLOSUM62F  -836.953081   -42551.048936
     DCMUTF  -838.057070       WAGF -1035.300086      HIVBF -3219.640865       JTTF  -624.573763      HIVBF -1267.076786       PMBF -2682.669599       FLUF -3688.886022     MTREVF -1929.088813  JTTDCMUTF -1193.641283   DAYHOFFF -3477.681788     MTARTF -2307.883389     RTREVF  -777.189192       PMBF -6048.141037        VTF -1569.448329       PMBF -1768.817866        LGF -3870.768988     MTARTF -2569.046533     RTREVF -1478.165727     RTREVF -1182.141742      HIVBF  -852.303678   -42380.522556
     MTZOAF  -835.242026        LGF -1037.253073       PMBF -3166.008914     MTMAMF  -617.060831      HIVWF -1292.705814   DAYHOFFF -2682.494647     DCMUTF -3586.902946     DCMUTF -1871.987398  BLOSUM62F -1213.279405        LGF -3474.977965     MTARTF -2296.623953       WAGF  -785.650260     MTZOAF -6269.866048       PMBF -1583.454899       PMBF -1772.904291       JTTF -3918.685332     DCMUTF -2532.829440       FLUF -1505.050309       PMBF -1222.382561        LGF  -826.900083   -42492.260195
      HIVBF  -858.586281  JTTDCMUTF -1034.815468       PMBF -3164.832855  JTTDCMUTF  -624.990395       PMBF -1279.912587     MTZOAF -2647.544157  JTTDCMUTF -3546.532600      HIVWF -1968.284915  JTTDCMUTF -1195.864675   DAYHOFFF -3477.180327     MTMAMF -2353.025310  JTTDCMUTF  -783.838851     RTREVF -6035.255989     MTARTF -1575.618549   DAYHOFFF -1745.462901  BLOSUM62F -3975.359720       FLUF -2598.324989        VTF -1495.362612     CPREVF -1204.002535  JTTDCMUTF  -831.840301   -42396.636016
     MTREVF  -843.287198     DCMUTF -1047.645127     MTMAMF -3352.657140  BLOSUM62F  -628.530670       WAGF -1265.672862     MTARTF -2695.006033     CPREVF -3644.104877     MTREVF -1918.083964       FLUF -1223.922853      HIVBF -3580.811131   DAYHOFFF -2179.863112  JTTDCMUTF  -785.676633      HIVWF -6440.398294  JTTDCMUTF -1563.249890     RTREVF -1744.910506       JTTF -3925.411213     RTREVF -2535.368013     CPREVF -1506.955133     CPREVF -1206.106628       FLUF  -848.016223   -42935.677500
     RTREVF  -835.670935     DCMUTF -1043.964833       WAGF -3129.773764       JTTF  -624.982754     MTREVF -1236.919011       FLUF -2707.259876       WAGF -3573.924039        LGF -1867.118522     MTREVF -1202.173988     MTARTF -3650.473761       PMBF -2214.801574        VTF  -787.679138     MTZOAF -6296.076103        LGF -1540.879730     DCMUTF -1744.040751       PMBF -3970.780776       PMBF -2585.465067     RTREVF -1477.834688       JTTF -1187.192253     MTZOAF  -831.304057   -42508.315619
        LGF  -837.919289       WAGF -1036.935267   DAYHOFFF -3153.361990       WAGF  -625.873793        VTF -1265.382863      HIVBF -2713.069040  JTTDCMUTF -3551.067881     MTREVF -1924.760768      HIVWF -1267.165547        LGF -3475.936306       WAGF -2189.085228     CPREVF  -782.833304       FLUF -6249.742176       FLUF -1577.557024     MTARTF -1771.166264      HIVWF -4052.506032     CPREVF -2569.960694     MTZOAF -1477.399804        LGF -1176.282002     RTREVF  -829.455291   -42527.460563
     DCMUTF  -836.753100        VTF -1030.006176        VTF -3131.670844      HIVWF  -631.813896       PMBF -1276.450516     CPREVF -2672.666532     RTREVF -3564.900010     RTREVF -1874.314085   DAYHOFFF -1176.402737     RTREVF -3489.785696     MTARTF -2312.373671       WAGF  -782.693612     RTREVF -6057.800325       FLUF -1576.756360     MTREVF -1748.366887  JTTDCMUTF -3900.929235     CPREVF -2566.353844       PMBF -1496.550684      HIVBF -1200.796398  BLOSUM62F  -835.941768   -42163.326374
  JTTDCMUTF  -844.728739       JTTF -1031.611030       FLUF -3166.984352     MTREVF  -617.101845   DAYHOFFF -1249.077530       WAGF -2656.410619     DCMUTF -3591.161318      HIVWF -1979.202876       WAGF -1200.626814       WAGF -3492.144373     MTMAMF -2369.030022  BLOSUM62F  -786.563171        LGF -6031.803022   DAYHOFFF -1547.511206     DCMUTF -1742.370508       WAGF -3928.018786       WAGF -2546.546542       JTTF -1481.384821        VTF -1204.614618      HIVBF  -851.350129   -42318.242323
     MTMAMF  -851.312759       WAGF -1032.833517     DCMUTF -3151.206690     MTARTF  -609.232056       JTTF -1240.214852     RTREVF -2645.825805       FLUF -3694.110452       WAGF -1839.203305     MTARTF -1197.804096       FLUF -3598.712515       WAGF -2185.697560        VTF  -786.382573  JTTDCMUTF -6040.525338       FLUF -1576.901351  JTTDCMUTF -1722.907666     MTZOAF -3862.707705       WAGF -2547.490722     DCMUTF -1479.012698     DCMUTF -1179.083776       JTTF  -829.057568   -42070.223004
       WAGF  -845.194519     MTARTF -1049.883455  JTTDCMUTF -3118.596439     MTMAMF  -615.397917       FLUF -1265.102144     MTZOAF -2648.742281     MTZOAF -3678.606681        LGF -1866.978459       PMBF -1208.758247     MTARTF -3653.773505   DAYHOFFF -2175.222948     MTZOAF  -773.704311       WAGF -5988.689272     MTZOAF -1554.435914     MTREVF -1749.088045     CPREVF -3952.519427  BLOSUM62F -2584.597021  JTTDCMUTF -1480.926773     RTREVF -1180.942501  JTTDCMUTF  -830.274551   -42221.434408
   DAYHOFFF  -838.220344      HIVWF -1064.597585  JTTDCMUTF -3122.655899   DAYHOFFF  -624.180260      HIVBF -1269.067753        LGF -2646.776611     MTMAMF -3948.521297      HIVWF -1970.156231     MTZOAF -1181.126934     MTZOAF -3552.827773     MTREVF -2235.425014     CPREVF  -784.340403  BLOSUM62F -6046.982029       PMBF -1582.661851       JTTF -1726.862630     CPREVF -3963.487657       FLUF -2601.221634       WAGF -1495.461633     MTARTF -1195.380193      HIVWF  -864.263562   -42714.217295
        VTF  -845.503123      HIVWF -1061.129022       JTTF -3118.500552      HIVBF  -624.110970       JTTF -1239.215637       FLUF -2710.972275        VTF -3535.189991     DCMUTF -1881.518929       WAGF -1199.982652       PMBF -3542.646061       JTTF -2179.030122      HIVWF  -799.841199       WAGF -5998.583623     MTREVF -1581.769408     MTMAMF -1813.282967     MTMAMF -3989.913951     MTARTF -2576.176120     RTREVF -1475.856672      HIVWF -1237.340637     MTREVF  -832.861121   -42243.425031
   DAYHOFFF  -834.858015     MTREVF -1031.275956     MTZOAF -3192.850372     MTARTF  -608.213245  JTTDCMUTF -1238.535690     CPREVF -2671.731579      HIVBF -3707.394385  BLOSUM62F -1841.678426       WAGF -1200.151685     DCMUTF -3482.331321     MTZOAF -2253.844191       FLUF  -786.803288        VTF -6021.997110       PMBF -1575.844776  BLOSUM62F -1767.207495     MTZOAF -3860.423577       PMBF -2579.525448       WAGF -1490.933072   DAYHOFFF -1177.787093   DAYHOFFF  -827.850843   -42151.237569
       PMBF  -841.109372     MTARTF -1042.452117     DCMUTF -3149.360115     CPREVF  -621.308972     CPREVF -1252.619973        VTF -2645.055261       JTTF -3558.102854   DAYHOFFF -1901.440321     MTREVF -1197.676015       PMBF -3536.099396       FLUF -2253.240129       WAGF  -778.286644        VTF -6042.560386   DAYHOFFF -1541.117859       WAGF -1743.136553     RTREVF -3853.549800       WAGF -2538.090363     RTREVF -1471.513005       JTTF -1179.478752     MTREVF  -831.222854   -41977.420743
       FLUF  -854.205059      HIVBF -1054.990251        VTF -3132.426071        VTF  -627.199084  BLOSUM62F -1275.868550     CPREVF -2675.180153      HIVWF -3822.397703       WAGF -1839.709538       JTTF -1194.046680       WAGF -3494.606158       FLUF -2240.725767     CPREVF  -781.857410  JTTDCMUTF -6051.220300     RTREVF -1546.909421      HIVBF -1765.076923     MTMAMF -3991.767654   DAYHOFFF -2530.906019        LGF -1475.196936       PMBF -1218.355960      HIVBF  -850.364901   -42423.010537
  JTTDCMUTF  -850.283712        LGF -1040.028780     DCMUTF -3158.085329     DCMUTF  -625.793639        VTF -1268.398470     MTMAMF -2719.153379        VTF -3548.810929     MTREVF -1917.396125       WAGF -1202.345955       WAGF -3501.068838  BLOSUM62F -2228.499700     MTREVF  -779.919531      HIVWF -6440.889501     DCMUTF -1553.354731     MTMAMF -1803.841990       FLUF -3932.475320     MTMAMF -2632.476124     MTZOAF -1478.305069     MTARTF -1193.556389       JTTF  -833.078195   -42707.761707
     CPREVF  -838.998676     MTREVF -1031.831988       JTTF -3116.592613  JTTDCMUTF  -623.018035      HIVBF -1263.428561     MTARTF -2702.182172  JTTDCMUTF -3551.936704      HIVBF -1936.616260     MTREVF -1199.771357        VTF -3512.673107     MTARTF -2320.236366   DAYHOFFF  -788.181090       PMBF -6058.549660   DAYHOFFF -1544.933372     MTREVF -1747.263336      HIVWF -4041.919325        LGF -2513.789575  BLOSUM62F -1496.825243     RTREVF -1178.069305   DAYHOFFF  -828.451321   -42295.268068
     DCMUTF  -830.143639     MTREVF -1024.022070       JTTF -3114.421888     MTREVF  -611.647950       WAGF -1247.597538  BLOSUM62F -2660.192683        LGF -3576.195355        VTF -1845.399639        VTF -1198.248305       WAGF -3488.792562        VTF -2183.724727       FLUF  -783.674809     DCMUTF -6154.129592        VTF -1553.960793  BLOSUM62F -1759.150471       PMBF -3930.762674       PMBF -2568.846271  BLOSUM62F -1489.752369        LGF -1168.292665     MTZOAF  -832.524902   -42021.480904
   DAYHOFFF  -833.594303      HIVWF -1057.799681        VTF -3124.204988       PMBF  -627.777602     MTMAMF -1236.660122     MTZOAF -2649.942658        VTF -3533.418176        LGF -1877.672395     DCMUTF -1174.353913        VTF -3510.685925     MTREVF -2243.206405  BLOSUM62F  -784.621012  JTTDCMUTF -6062.544385     MTREVF -1579.080438     RTREVF -1738.016963       WAGF -3912.957593      HIVBF -2583.797481        VTF -1487.317118        LGF -1171.439014      HIVWF  -861.409829   -42050.500002
       PMBF  -841.853548  BLOSUM62F -1024.922856   DAYHOFFF -3148.566681   DAYHOFFF  -617.098261     MTZOAF -1227.402397   DAYHOFFF -2673.475685  BLOSUM62F -3563.687653     CPREVF -1874.085987  JTTDCMUTF -1188.354044     CPREVF -3520.066370       PMBF -2200.822954     CPREVF  -776.908955       JTTF -6084.498959       FLUF -1577.268366  JTTDCMUTF -1715.614919   DAYHOFFF -3897.101468        VTF -2542.651418     MTREVF -1483.729988      HIVWF -1236.019197       PMBF  -829.514675   -42023.644380
  BLOSUM62F  -850.086708     DCMUTF -1044.943095     MTMAMF -3364.941143  JTTDCMUTF  -624.882884     MTARTF -1239.852234      HIVWF -2774.039249       PMBF -3562.191168  JTTDCMUTF -1853.064078     RTREVF -1191.415519     DCMUTF -3479.384947     CPREVF -2219.754160     RTREVF  -778.073164     MTREVF -6208.634744      HIVBF -1596.240514       FLUF -1761.412803   DAYHOFFF -3931.041287  BLOSUM62F -2587.932093       JTTF -1483.568028       WAGF -1196.446127     MTREVF  -834.533699   -42582.437645
   DAYHOFFF  -835.262514     MTREVF -1031.969681       PMBF -3152.606262     MTMAMF  -612.865609     MTMAMF -1236.360135     MTARTF -2703.660526       PMBF -3553.350633   DAYHOFFF -1889.187365       FLUF -1223.567384     CPREVF -3520.825696     MTMAMF -2381.030728     DCMUTF  -787.385339       WAGF -6004.440742        LGF -1536.156221  JTTDCMUTF -1719.318451       JTTF -3894.257353       PMBF -2576.733456  BLOSUM62F -1496.341454        VTF -1201.853923     MTARTF  -839.470168   -42196.643639
  JTTDCMUTF  -842.600570        LGF -1031.343738       FLUF -3169.269136        LGF  -617.239704   DAYHOFFF -1248.070002     RTREVF -2642.524218     DCMUTF -3596.821424        VTF -1836.021338  BLOSUM62F -1210.463703     CPREVF -3520.341178      HIVWF -2325.860155       JTTF  -780.639195      HIVBF -6284.942638        LGF -1536.422956       WAGF -1748.412617     MTREVF -3913.479232       WAGF -2543.518858  JTTDCMUTF -1478.011037        VTF -1202.846370     MTARTF  -839.080963   -42367.909031
       JTTF  -842.832056       PMBF -1030.449155      HIVWF -3305.154662        VTF  -626.281321       WAGF -1256.591904        LGF -2637.818521        VTF -3536.689367  JTTDCMUTF -1860.541474     MTZOAF -1179.335770       FLUF -3603.915278       PMBF -2208.200257       PMBF  -786.809475        VTF -6020.401263      HIVBF -1591.217124     MTREVF -1746.362238     MTMAMF -3988.051939  BLOSUM62F -2578.890998      HIVBF -1518.685454     DCMUTF -1176.588174     MTARTF  -838.621013   -42333.437445
       WAGF  -840.325450      HIVWF -1058.732569       WAGF -3121.113088       FLUF  -614.160494     RTREVF -1237.482549     MTMAMF -2738.711021        VTF -3536.426956     MTARTF -2050.066329      HIVBF -1230.949047  JTTDCMUTF -3482.292550  BLOSUM62F -2210.414554       WAGF  -780.403554     CPREVF -6067.496793       WAGF -1558.338820      HIVWF -1805.063702       PMBF -3950.141865     MTREVF -2548.964004     RTREVF -1473.057229        LGF -1170.867136       JTTF  -826.698781   -42301.706492
     RTREVF  -831.779063        LGF -1030.888188  BLOSUM62F -3154.828912        LGF  -617.337506     CPREVF -1257.003864        VTF -2653.996709      HIVBF -3714.499676     MTREVF -1940.804960       PMBF -1207.548701       PMBF -3541.002157     MTREVF -2241.415728        VTF  -785.014972      HIVBF -6290.198645       WAGF -1560.767044     CPREVF -1757.681547      HIVWF -4044.165483  BLOSUM62F -2579.184392       JTTF -1479.719759     MTARTF -1197.877539     CPREVF  -830.005761   -42715.720605
     MTREVF  -848.596245   DAYHOFFF -1051.487092       FLUF -3159.579073     MTZOAF  -615.824312   DAYHOFFF -1264.000621     RTREVF -2669.971356     MTMAMF -3901.230328     MTARTF -1988.534525   DAYHOFFF -1183.885151     MTREVF -3570.296550     MTREVF -2232.346488  JTTDCMUTF  -789.182317       FLUF -6186.975990       WAGF -1579.085605     MTARTF -1767.923744     RTREVF -3915.914396  JTTDCMUTF -2545.318381     MTMAMF -1527.409524      HIVWF -1246.215462   DAYHOFFF  -837.160779   -42880.937942
     MTZOAF  -836.608772        LGF -1039.813001   DAYHOFFF -3157.572508     DCMUTF  -625.756226        LGF -1249.138641     MTZOAF -2649.110609   DAYHOFFF -3584.401936     MTARTF -2006.634301       WAGF -1202.864968     RTREVF -3486.841286     MTREVF -2230.152493        LGF  -776.679501       FLUF -6219.718778      HIVWF -1656.361827     MTREVF -1751.549919     CPREVF -3975.194171        LGF -2520.674079     MTMAMF -1528.504290  BLOSUM62F -1222.647619     MTMAMF  -847.235263   -42567.460188
  JTTDCMUTF  -838.906399     MTMAMF -1063.034994     DCMUTF -3150.058103      HIVWF  -628.449785     CPREVF -1253.902529  BLOSUM62F -2671.563332      HIVWF -3840.144102     MTMAMF -2139.859316        LGF -1189.127736     CPREVF -3520.532664        VTF -2191.630902       JTTF  -779.227418        VTF -6036.651508     RTREVF -1542.751600       WAGF -1746.353189  JTTDCMUTF -3887.454821       JTTF -2521.711361       WAGF -1487.418608      HIVWF -1237.403576   DAYHOFFF  -826.966058   -42553.148000
     CPREVF  -838.016769     MTARTF -1046.318812     RTREVF -3125.946258     DCMUTF  -620.623206     DCMUTF -1248.692509      HIVBF -2709.261818     RTREVF -3570.616990       PMBF -1835.972306     MTREVF -1199.799601     DCMUTF -3482.051621     CPREVF -2214.764914     MTARTF  -782.243716       WAGF -6000.666522     RTREVF -1545.119948        LGF -1732.926951     MTARTF -3879.263696        LGF -2515.320650     MTARTF -1502.482847       JTTF -1183.452527       JTTF  -827.277815   -41860.819474
  JTTDCMUTF  -839.515361   DAYHOFFF -1038.030560       WAGF -3120.785284      HIVWF  -627.770945      HIVWF -1285.126415  JTTDCMUTF -2633.289876       JTTF -3556.454364     MTZOAF -1977.579029        LGF -1188.229930       WAGF -3488.828070     CPREVF -2215.133371   DAYHOFFF  -785.153443     CPREVF -6075.156001       JTTF -1547.897477       FLUF -1762.824688       JTTF -3886.905181   DAYHOFFF -2527.624188      HIVWF -1558.156947      HIVBF -1197.060555  JTTDCMUTF  -825.655149   -42137.176835
      HIVWF  -883.442194        LGF -1030.886190      HIVWF -3303.086436       PMBF  -628.909555        LGF -1240.294011       JTTF -2640.370476       FLUF -3698.224027     CPREVF -1863.269799  JTTDCMUTF -1193.156405        VTF -3515.741626     RTREVF -2190.119410       WAGF  -783.030676     MTREVF -6239.966837     MTREVF -1581.563536      HIVBF -1764.268931   DAYHOFFF -3920.781017       WAGF -2546.719409  BLOSUM62F -1498.572369        LGF -1174.397337       JTTF  -828.561801   -42525.362042
   DAYHOFFF  -830.727233       PMBF -1024.853054  BLOSUM62F -3144.407780       WAGF  -620.971355     DCMUTF -1241.732837        LGF -2629.949649       JTTF -3564.463837  JTTDCMUTF -1876.258838      HIVBF -1228.956546  BLOSUM62F -3539.678601       PMBF -2199.395558      HIVWF  -794.024524       PMBF -6085.164494     MTARTF -1581.865463  BLOSUM62F -1758.126531     DCMUTF -3893.436281       WAGF -2536.548450       WAGF -1482.378964     DCMUTF -1173.404527      HIVWF  -860.521618   -42066.866139
     DCMUTF  -834.844131       JTTF -1028.592443        LGF -3109.014842       FLUF  -615.144674     MTREVF -1232.915693  BLOSUM62F -2673.838890     MTZOAF -3692.648528        LGF -1875.816664  BLOSUM62F -1210.482098     MTZOAF -3573.402864       PMBF -2207.215605   DAYHOFFF  -787.813628       PMBF -6057.913400      HIVWF -1652.840857      HIVWF -1805.009829   DAYHOFFF -3910.451872  BLOSUM62F -2577.986916  BLOSUM62F -1496.365375       JTTF -1183.070056     MTMAMF  -852.255573   -42377.623937
       PMBF  -846.565342     MTMAMF -1066.546198       WAGF -3124.581990     RTREVF  -616.615223     CPREVF -1260.503496      HIVWF -2774.567136        LGF -3559.944496  BLOSUM62F -1840.274134     MTZOAF -1180.969156      HIVWF -3731.001438      HIVBF -2245.858005     MTARTF  -782.703880        LGF -6035.510968      HIVBF -1592.615453     MTZOAF -1746.603829  BLOSUM62F -3955.242226  BLOSUM62F -2580.229590     MTREVF -1486.375725       WAGF -1192.383636     CPREVF  -831.190352   -42450.282272
        VTF  -845.833450  BLOSUM62F -1029.027667     CPREVF -3151.152783     MTZOAF  -608.554166   DAYHOFFF -1249.099697        VTF -2660.501595     MTMAMF -3976.120151     DCMUTF -1882.418405       FLUF -1223.680152        LGF -3477.747749       WAGF -2185.753452       WAGF  -782.640052       WAGF -5999.882942     MTMAMF -1618.737805     MTREVF -1748.602535     MTREVF -3916.282437     CPREVF -2566.296148     DCMUTF -1479.105664       WAGF -1193.069399       FLUF  -845.781905   -42440.288154
        VTF  -848.557943   DAYHOFFF -1044.554757       WAGF -3132.482195      HIVWF  -633.472706     MTARTF -1239.177726     DCMUTF -2681.213799     CPREVF -3639.019840       WAGF -1836.782804     CPREVF -1201.866219     MTMAMF -3810.220758   DAYHOFFF -2174.989995       JTTF  -783.907560        LGF -6013.290305   DAYHOFFF -1549.728395        LGF -1734.164594     MTMAMF -3986.193957       PMBF -2585.847521      HIVBF -1522.475021       PMBF -1219.478407       JTTF  -830.649850   -42468.074351
       PMBF  -849.709279     MTARTF -1050.889863       JTTF -3121.890245       WAGF  -626.188397       JTTF -1240.911171     MTMAMF -2727.542433      HIVBF -3697.893888     MTZOAF -1954.487329       JTTF -1195.796753     MTZOAF -3558.775867       JTTF -2181.078242       PMBF  -789.025837       WAGF -5991.038728        VTF -1568.942423     CPREVF -1761.036783       FLUF -3923.434823  JTTDCMUTF -2527.497907  BLOSUM62F -1501.417772     MTZOAF -1179.096937      HIVBF  -851.859153   -42298.513830
     MTZOAF  -833.765826       JTTF -1031.631482  BLOSUM62F -3157.967955   DAYHOFFF  -621.967211        VTF -1261.772540     MTARTF -2699.470156       PMBF -3555.542071     MTREVF -1932.616186     MTZOAF -1180.118493       WAGF -3491.589012     RTREVF -2188.543351     DCMUTF  -789.393457       FLUF -6273.895271      HIVWF -1652.498503     CPREVF -1759.142607        VTF -3941.452512  BLOSUM62F -2581.821411     RTREVF -1476.140102     MTARTF -1195.356044     MTMAMF  -850.071932   -42474.756124
